ship_name;standardized_name
St Matteus;St. Mattheus
St. Matheus;St. Mattheus
St. Matteus;St. Mattheus
de St. Pieter;St. Pieter
St Pieter;St. Pieter
St. Pieter;St. Pieter
St. Peeter;St. Pieter
Stadt ende Omlanden;Stad en Ommelanden
Stathuijs van Amsterdam;Stadhuis van Amsterdam
t Stadthuijs van Haerlem;Stadhuis van Haarlem
Stavooren;Stavoren
Staveren;Stavoren
de Ster;Ster
de Sterre;Ster
de Star;Ster
de Sockvisch;Stokvis
de Stockvis;Stokvis
de Stockvisch;Stokvis
Susanna;Susanna
Texel;Texel
het Tijtverdrijff;Tijdverdrijf
de Teyger;Tijger
de Tijger;Tijger
de Tyger;Tijger
den Tijger;Tijger
Den Tijger;Tijger
den Tyger;Tijger
d'Tyger;Tijger
Tijger;Tijger
Tyger;Tijger
de Tortelduijf;Tortelduif
de Tortelduijff;Tortelduif
de Trouw;Trouw
de Trouwe;Trouw
Uytgeest;Uitgeest
Uijtrecht;Utrecht
Uittrecht;Utrecht
Utrecht;Utrecht
Vtrecht;Utrecht
Wtrecht;Utrecht
Wtreght;Utrecht
de Valck;Valk
d'Valck;Valk
Venenburgh;Venenburg
Venetien;Venetië
d' Vergulde Aecker;Vergulde Akker
de Vergulde Fonteijn;Vergulde Fontein
de Vergulde Haes;Vergulde Haas
de Vergulde Hant;Vergulde Hand
de Vergulde Croon;Vergulde Kroon
de Vergulde Ree;Vergulde Ree
het Vergulde Rhee;Vergulde Ree
de Vergulde Snoeck;Vergulde Snoek
de Vergulden Snoeck;Vergulde Snoek
de Vergulde Valck;Vergulde Valk
de Vergulde Vos;Vergulde Vos
de Gulde Swaen;Vergulde Zwaan
de Vergulde Swaen;Vergulde Zwaan
de Verlooren Soon;Verloren Zoon
den Verlooren Soon;Verloren Zoon
de Visscher;Visser
de Vliegh;Vlieg
t Vliegende Hart;Vliegend Hart
de Vliegende Fame;Vliegende Faam
Vlielandt;Vlieland
de Vlught;Vlucht
de Vogel Phenicx;Vogel Fenix
de Vogel Phoenicx;Vogel Fenix
de Vogel Phoenix;Vogel Fenix
de Vogel Struijs;Vogel Struis
de Vogelstruij;Vogel Struis
de Vogelstruijs;Vogel Struis
den Vogelstru;Vogel Struis
de Vogelesangh;Vogelzang
de Vogelsang;Vogelzang
Vollenhove;Vollenhove
de Vrede;Vrede
de Vreede;Vrede
den Vrede;Vrede
Vreede;Vrede
de Vrijheijt;Vrijheid
de Waech van Amsterdam;Waag van Amsterdam
de Wagen;Wagen
de Waeckende Boeij;Wakende Boei
de Waeckende Boey;Wakende Boei
de Waekende Boeij;Wakende Boei
Â´t Waackende Hart;Wakende Hart
t Waackend Hart;Wakende Hart
t Waackende Hart;Wakende Hart
t Waeckende Hart;Wakende Hart
t Wakende Hart;Wakende Hart
t Wakende Hartt;Wakende Hart
tÂ´Waackende Hart;Wakende Hart
tÂ´Waeckende Hart;Wakende Hart
t'Waeckende Hart;Wakende Hart
de Walvis;Walvis
de Walvisch;Walvis
t Wapen van Alckmaer;Wapen van Alkmaar
het Wapen van Amsteldam;Wapen van Amsterdam
t Wapen van Amst.;Wapen van Amsterdam
t Wapen van Amsterdam;Wapen van Amsterdam
t Wapen van Amstm.;Wapen van Amsterdam
Twapen van Amsterdam;Wapen van Amsterdam
t Waepen van Amsterdam;Wapen van Amsterdam
t Wapen van Bergen ende Kennemerlant;Wapen van Bergen en Kennemerland
t Wapen van Delff;Wapen van Delft
t Wapen van Hollandt;Wapen van Holland
t Wapen van Hollant;Wapen van Holland
t'Wapen van Hollandt;Wapen van Holland
t' Wapen van Medembl.;Wapen van Medemblik
t Wapen van Medemblick;Wapen van Medemblik
t Wapen van Medenblick;Wapen van Medemblik
t'Wapen van Medembl.;Wapen van Medemblik
tÂ´Wapen van Overijsel;Wapen van Overijssel
de Wassende Maen;Wassende Maan
de Waterhondt;Waterhond
de Waterhont;Waterhond
de Watermeulen;Watermolen
Weesep;Weesp
Wesep;Weesp
Weesop;Weesp
Weesel;Weesp
West Frieslandt;Westfriesland
West Frieslt.;Westfriesland
West Vrieslandt;Westfriesland
Westfrieslandt;Westfriesland
Westfrieslant;Westfriesland
Westfrieslt.;Westfriesland
Westvrieslandt;Westfriesland
Westvrieslant;Westfriesland
het West Ind: Huijs;Westindisch Huis
het West Ind: Huys;Westindisch Huis
het West Indisch Huijs;Westindisch Huis
het Westind: Huijs;Westindisch Huis
T West Indisch Huijs;Westindisch Huis
t West Indisch Huijs;Westindisch Huis
t West Indischhuijs;Westindisch Huis
Wesel;Wezel
de Winthondt;Windhond
de Winthont;Windhond
den Witten Eenhoorn;Witte Eenhoorn
de Witte Hoop;Witte Hoop
de WitteHsoop;Witte Hoop
het Witte Lam;Witte Lam
t Witte Lam;Witte Lam
tÂ´Witte Lam;Witte Lam
de Witte Leeu;Witte Leeuw
de Witte Leeuw;Witte Leeuw
de Witte Raeff;Witte Raaf
d Witte Valck;Witte Valk
de Witte Valck;Witte Valk
d'Witte Valck;Witte Valk
de Witte Winthont;Witte Windhond
de Witte Swaen;Witte Zwaan
de Wolff;Wolf
de Wolf;Wolf 
Wulpenburch;Wulpenburg
Wulpenburgh;Wulpenburg
d Sayer;Zaaier
de Saeijer;Zaaier
de Saeyer;Zaaier
de Saijer;Zaaier
de Sayer;Zaaier
de Zaeijder;Zaaier
de Zaeijer;Zaaier
de Zaijer;Zaaier
de Zayer;Zaaier
de Sael;Zaal
de Salm;Zalm
Sandtfoort;Zandvoort
Santvoort;Zandvoort
de Seehaen;Zeehaan
Zeelandt;Zeeland
Seelandia;Zeelandia
Zeelandia;Zeelandia
de See Ridder;Zeeridder
de Seeridder;Zeeridder
de Zeeridder;Zeeridder
de Seeusche Jager;Zeeuwse Jager
de Zeeusche Jager;Zeeuwse Jager
de Zeeuse Jaeger;Zeeuwse Jager
Seeusche Jager;Zeeuwse Jager
de 7 Star;Zevenster
de Seven Sterre;Zevenster
de Sevenstarre;Zevenster
de Sevensterre;Zevenster
den Sevenstar;Zevenster
de Zon;Zon
de Son;Zon
Zuijderhuijs;Zuiderkruis
Zutphen;Zutphen
Sutphen;Zutphen
de Swaan;Zwaan
de Swaen;Zwaan
de Swarten Arent;Zwarte Arend
den Swarten Arent;Zwarte Arend
d'Swarten Arent;Zwarte Arend
de Swarte Beer;Zwarte Beer
de Swarte Bul;Zwarte Bul
de Swarte Bull;Zwarte Bul
de Swarte Leeu;Zwarte Leeuw
de Swarte Leeuw;Zwarte Leeuw
t Swarte Paart;Zwarte Paard
de Swarte Raven;Zwarte Raven
Svoll;Zwolle
Zwoll;Zwolle
Swol;Zwolle
Swoll;Zwolle
vande;
ende;
