id,begin_coordinates,begin_scanname,end_coordinates,end_scanname
https://archief.amsterdam/indexen/deeds/9d6d21e1-405f-666d-e053-b784100a1840,"588,209",A23653000209,"2170,2909",A23653000209
,"2880,2188",A33864000049,"2386,3677",A33864000050
,"411,240",A33642000059,"2445,3707",A33642000059
,"686,264",KLAD01899000063,"2773,3186",KLAD01899000063
https://archief.amsterdam/indexen/deeds/9d6d21e0-db36-666d-e053-b784100a1840,"697,103",A23654000127,"2066,3120",A23654000127
https://archief.amsterdam/indexen/deeds/9d6d21e3-0985-666d-e053-b784100a1840,"349,153",A23657000039,"2146,2990",A23657000039
https://archief.amsterdam/indexen/deeds/bebf5fd4-94c8-1e00-e053-b784100af734,"455,2565",KLAG03343000088,"4959,1150",KLAG03343000088
https://archief.amsterdam/indexen/deeds/9d6d21e1-b294-666d-e053-b784100a1840,"2615,201",A23652000127,"4383,2491",A23652000127
,"463,236",A33642000032,"2489,3631",A33642000032
,"3011,170",KLAC01212000095,"2576,3804",KLAC01212000096
https://archief.amsterdam/indexen/deeds/9d6d21e0-ce12-666d-e053-b784100a1840,"277,140",A23660000029,"2199,2989",A23660000029
,"2097,303",KLAD01549000068,"3596,2764",KLAD01549000068
,"2767,155",A26736000037,"4678,3803",A26736000037
https://archief.amsterdam/indexen/deeds/bebf5fd4-8293-1e00-e053-b784100af734,"2945,2370",KLAG03343000041,"5089,3170",KLAG03343000041
,"2028,1419",KLAD01840000056,"1739,2341",KLAD01840000057
https://archief.amsterdam/indexen/deeds/9d6d21e1-b295-666d-e053-b784100a1840,"274,149",A23657000047,"2139,2762",A23657000047
https://archief.amsterdam/indexen/deeds/9d6d21e1-8336-666d-e053-b784100a1840,"2879,97",KLAB05528000016,"2297,2686",KLAB05528000017
https://archief.amsterdam/indexen/deeds/e557c10e-a20b-7dcb-e053-b784100a971b,"639,253",KLAC01164000150,"5045,2157",KLAC01164000150
https://archief.amsterdam/indexen/deeds/9d6d21e3-f3a5-666d-e053-b784100a1840,"398,195",A23645000019,"2157,3281",A23645000019
https://archief.amsterdam/indexen/deeds/9d6d21e1-40a6-666d-e053-b784100a1840,"2451,95",A23647000067,"4342,3207",A23647000067
,"523,141",KLAB05564000033,"4886,2218",KLAB05564000033
https://archief.amsterdam/indexen/deeds/9d6d21df-e966-666d-e053-b784100a1840,"2506,129",A23647000041,"4165,3249",A23647000041
,"2309,145",NOTD00104000039,"3949,1281",NOTD00104000040
,"323,162",NOTC00999000010,"2666,3970",NOTC00999000010
https://archief.amsterdam/indexen/deeds/9d6d21e0-bf22-666d-e053-b784100a1840,"457,228",A23645000075,"2239,3305",A23645000075
,"3104,2038",KLAC01212000204,"2698,3222",KLAC01212000205
https://archief.amsterdam/indexen/deeds/9d6d21e2-a511-666d-e053-b784100a1840,"2093,109",A30708000033,"3639,2840",A30708000033
,"1942,88",KLAD01539000006,"3697,2798",KLAD01539000006
,"2161,123",KLAD01840000024,"3593,528",KLAD01840000024
https://archief.amsterdam/indexen/deeds/9d6d21e1-312e-666d-e053-b784100a1840,"173,142",A23649000009,"2020,3075",A23649000009
https://archief.amsterdam/indexen/deeds/9d6d21df-e967-666d-e053-b784100a1840,"214,213",A23656000014,"2014,2624",A23656000014
https://archief.amsterdam/indexen/deeds/9d6d21e0-4cb5-666d-e053-b784100a1840,"2156,86",A23651000059,"3864,2924",A23651000059
https://archief.amsterdam/indexen/deeds/9d6d21e2-8879-666d-e053-b784100a1840,"179,166",A23651000189,"2015,2929",A23651000189
https://archief.amsterdam/indexen/deeds/d0092ad0-504d-1a7b-e053-b784100aab8a,"883,355",NOTG00054000352,"3085,3448",NOTG00054000352
,"323,140",KLAD01958000050,"1774,2721",KLAD01958000050
https://archief.amsterdam/indexen/deeds/9d6d21e0-4cb6-666d-e053-b784100a1840,"2554,211",A23645000061,"4342,3343",A23645000061
https://archief.amsterdam/indexen/deeds/9d6d21e0-5bb9-666d-e053-b784100a1840,"2260,235",A23655000012,"4172,2902",A23655000012
,"2690,179",KLAD03198000016,"4808,3499",KLAD03198000017
,"2811,163",KLAB05564000167,"2343,2165",KLAB05564000168
,"2098,122",KLAD01877000064,"1933,2698",KLAD01877000065
,"2905,186",KLAD01958000067,"1791,1717",KLAD01958000068
,"304,119",KLAD02222000036,"3512,2710",KLAD02222000038
,"462,125",KLAD02331000068,"3604,1749",KLAD02331000068
,"344,88",KLAD02194000036,"3618,1410",KLAD02194000036
https://archief.amsterdam/indexen/deeds/9d6d21e2-fac4-666d-e053-b784100a1840,"307,227",A23645000301,"2375,3312",A23645000301
,"355,126",KLAD02241000082,"1805,2700",KLAD02241000082
,"325,182",KLAB05564000086,"2578,3551",KLAB05564000086
https://archief.amsterdam/indexen/deeds/e557c10e-e24e-7dcb-e053-b784100a971b,"2986,191",KLAC01164000202,"5192,2331",KLAC01164000203
,"488,113",A26669000085,"2463,3616",A26669000085
https://archief.amsterdam/indexen/deeds/bebf5fd4-b984-1e00-e053-b784100af734,"2939,180",KLAG03343000090,"4945,2597",KLAG03343000090
,"3091,374",A30705000062,"5506,4008",A30705000062
https://archief.amsterdam/indexen/deeds/9d6d21e2-974f-666d-e053-b784100a1840,"2474,130",A23648000023,"4267,3285",A23648000023
https://archief.amsterdam/indexen/deeds/9d6d21df-da91-666d-e053-b784100a1840,"2475,150",A23645000150,"4392,3367",A23645000150
,"2052,148",A16607000084,"1789,2704",A16607000085
https://archief.amsterdam/indexen/deeds/9d6d21e2-25aa-666d-e053-b784100a1840,"172,118",A23650000169,"2237,3184",A23650000169
,"2191,86",A25702000042,"3667,2758",A25702000046
https://archief.amsterdam/indexen/deeds/9d6d21e1-3163-666d-e053-b784100a1840,"2688,157",A23645000302,"4474,3366",A23645000302
,"2761,135",A33621000065,"5058,3251",A33621000065
,"338,157",KLAD01877000112,"1850,2347",KLAD01877000112
,"229,149",A16581000010,"1663,2635",A16581000010
,"2867,155",KLAD01887000125,"2551,2269",KLAD01887000126
,"2803,169",KLAD01982000091,"2457,2728",KLAD01982000092
,"2759,129",KLAG05092000014,"2499,3121",KLAG05092000015
,"2222,156",NOTD00101000104,"3871,1370",NOTD00101000105
https://archief.amsterdam/indexen/deeds/a3cb51cc-c5a1-50ee-e053-b784100a6caf,"616,190",KLAB05562000191,"2455,3049",KLAB05562000191
https://archief.amsterdam/indexen/deeds/e557c10e-e42a-7dcb-e053-b784100a971b,"461,122",KLAB04781000086,"2353,3100",KLAB04781000086
,"2899,217",NOTC00998000024,"5000,2037",NOTC00998000025
,"362,118",KLAD02222000056,"1786,2209",KLAD02222000056
https://archief.amsterdam/indexen/deeds/9d6d21e1-40e0-666d-e053-b784100a1840,"619,131",A23658000142,"2194,2899",A23658000142
https://archief.amsterdam/indexen/deeds/e557c10f-4db1-7dcb-e053-b784100a971b,"2872,285",KLAB05555000035,"4850,3376",KLAB05555000035
,"2094,223",KLAD01549000048,"3571,2831",KLAD01549000048
,"2904,2834",KLAD01887000237,"2583,3336",KLAD01887000238
https://archief.amsterdam/indexen/deeds/e557c10e-e42c-7dcb-e053-b784100a971b,"3027,219",KLAB05555000020,"4826,3657",KLAB05555000020
,"569,170",KLAB03099000103,"5237,3748",KLAB03099000110
,"1989,97",KLAD01984000062,"3606,2740",KLAD01984000062
https://archief.amsterdam/indexen/deeds/9d6d21e1-40e2-666d-e053-b784100a1840,"247,147",A23647000127,"2280,3257",A23647000127
https://archief.amsterdam/indexen/deeds/d0092ad0-50c3-1a7b-e053-b784100aab8a,"3304,298",NOTG00054000337,"5486,3392",NOTG00054000337
,"1969,958",A16581000039,"1733,1129",A16581000040
https://archief.amsterdam/indexen/deeds/9d6d21e2-a59d-666d-e053-b784100a1840,"3358,188",A30768000148,"2700,2277",A30768000149
https://archief.amsterdam/indexen/deeds/9d6d21e3-7b36-666d-e053-b784100a1840,"2396,129",A23646000134,"4242,3047",A23646000134
https://archief.amsterdam/indexen/deeds/a3cb51cc-4bc2-50ee-e053-b784100a6caf,"311,184",KLAB05562000010,"2249,3742",KLAB05562000010
,"603,110",KLAD01885000101,"2634,3725",KLAD01885000101
https://archief.amsterdam/indexen/deeds/9d6d21e2-e2ec-666d-e053-b784100a1840,"2166,104",A30746000096,"3888,2704",A30746000096
,"209,137",A16581000027,"3501,932",A16581000027
,"363,95",KLAB05520000111,"2251,3147",KLAB05520000111
https://archief.amsterdam/indexen/deeds/a3cb51cc-951d-50ee-e053-b784100a6caf,"622,228",KLAB05562000157,"2509,3746",KLAB05562000157
,"183,91",KLAD01971000037,"1752,2767",KLAD01971000037
,"2822,150",KLAD03194000055,"2449,3676",KLAD03194000056
https://archief.amsterdam/indexen/deeds/e557c10f-3896-7dcb-e053-b784100a971b,"834,194",KLAC01164000237,"2860,3704",KLAC01164000237
https://archief.amsterdam/indexen/deeds/9d6d21e1-4db7-666d-e053-b784100a1840,"249,152",A30708000013,"2282,3754",A30708000013
,"451,181",KLAB04762000048,"2280,3357",KLAB04762000048
,"2111,149",KLAD02331000009,"3613,2655",KLAD02331000009
,"2881,127",A30981000070,"4843,3732",A30981000070
,"318,123",KLAC01194000033,"4741,3040",KLAC01194000033
,"2648,159",A33641000003,"2126,2504",A33641000004
,"2726,218",A32698000056,"2493,1861",A32698000057
